date_heure,temperature_c,conditions,vent_vitesse_kmh,humidite_pourcent,pression_hpa
2026-02-10 13:00:00,1.91,couvert,8.28,83,1000
2026-02-10 16:00:00,2.95,couvert,15.44,86,999
2026-02-10 19:00:00,4.84,légère pluie,16.13,91,996
2026-02-10 22:00:00,4.24,couvert,13.28,90,994
2026-02-11 01:00:00,3.62,légère pluie,23.47,95,991
2026-02-11 04:00:00,6.32,pluie modérée,24.91,97,987
2026-02-11 07:00:00,7.66,pluie modérée,28.94,95,988
2026-02-11 10:00:00,7.65,légère pluie,31.82,93,989
2026-02-11 13:00:00,7.55,pluie modérée,30.31,94,989
2026-02-11 16:00:00,7.35,pluie modérée,29.2,94,990
2026-02-11 19:00:00,7.83,légère pluie,31.43,90,991
2026-02-11 22:00:00,6.94,légère pluie,25.2,89,991
2026-02-12 01:00:00,5.0,couvert,10.4,93,987
2026-02-12 04:00:00,5.25,pluie modérée,27.72,95,984
2026-02-12 07:00:00,7.5,pluie modérée,27.79,84,983
2026-02-12 10:00:00,7.19,couvert,17.06,84,982
2026-02-12 13:00:00,7.01,légère pluie,23.72,83,983
2026-02-12 16:00:00,6.46,légère pluie,25.16,88,983
2026-02-12 19:00:00,6.13,pluie modérée,35.46,90,985
2026-02-12 22:00:00,5.96,légère pluie,24.7,88,988
2026-02-13 01:00:00,5.78,légère pluie,28.58,82,989
2026-02-13 04:00:00,4.85,couvert,29.95,86,991
2026-02-13 07:00:00,4.36,couvert,21.31,92,992
2026-02-13 10:00:00,4.21,légère pluie,23.69,95,992
2026-02-13 13:00:00,6.78,couvert,25.31,79,991
2026-02-13 16:00:00,5.75,légère pluie,14.18,87,991
2026-02-13 19:00:00,3.66,couvert,4.79,92,992
2026-02-13 22:00:00,3.19,peu nuageux,3.49,91,992
2026-02-14 01:00:00,2.77,nuageux,5.15,90,992
2026-02-14 04:00:00,2.55,couvert,8.35,91,993
2026-02-14 07:00:00,2.48,couvert,9.29,93,995
2026-02-14 10:00:00,3.79,couvert,6.55,92,998
2026-02-14 13:00:00,5.31,légère pluie,9.07,89,999
2026-02-14 16:00:00,3.07,légère pluie,17.53,96,1002
2026-02-14 19:00:00,-0.07,chutes de neige,24.01,98,1006
2026-02-14 22:00:00,-1.0,chutes de neige,20.77,97,1010
2026-02-15 01:00:00,-1.57,légères chutes de neige,20.56,94,1013
2026-02-15 04:00:00,-3.05,couvert,19.08,90,1016
2026-02-15 07:00:00,-4.36,couvert,14.54,91,1020
2026-02-15 10:00:00,-2.88,couvert,16.31,83,1023
